Time,Activity,Pain,Gain,ActivityTime
6:15:00 AM,อาบน้ำ,ง่วงและหนาว,"ตื่นตัว, สดชื่น",Morning
6:20:00 AM,ทาครีม,ไม่อยากทาครีมเพราะต้องทาหลายตัว,ทำให้ผิวหน้ามีสุขภาพดี,Morning
6:30:00 AM,ตื่นมาเลื่อนนาฬิกาปลุก,ง่วงมาก,ได้พักผ่อน,Morning
6:30:00 AM,ตื่นมาปิดนาฬิกาปลุก รอบที่ 1,ล้า ไม่อยากลุก,ได้นอนต่อ,Morning
6:30:00 AM,ตื่นนอน,ไม่สดชื่นอยากนอนต่อ,ตื่นเช้ามีเวลาทำงานเพิ่มขึ้น,Morning
6:30:00 AM,ตื่นนอน,"ง่วง,ไม่อยากลุก,ขอนอนต่อนิดนึง",ตื่นเช้าทำให้เดินทางไปทำงานโดยไม่ต้องเร่งรีบมาก,Morning
6:30:00 AM,เดินทางออกจากบ้าน,ไม่อยากออกจากบ้านกลัวโควิค,ได้เงินเดือน,Morning
6:30:00 AM,แต่งตัว แต่งหน้า,,,Morning
6:30:00 AM,รดน้ำต้นไม้,เฉอะแฉะ,รู้สึกดี,Morning
6:30:00 AM,ตื่นเพื่อปิดนาฬิกาปลุก,ง่วงมากๆ,ได้พักผ่อน,Morning
6:30:00 AM,เดินทางไปทำงาน,"ขี้เกียจขับรถ, เบื่อ",ไม่ขาดงาน,Morning
6:30:00 AM,ตื่นนอน,ง่วง อยากนอนต่อ,ได้ออกกำลังกาย,Morning
6:30:00 AM,ตื่นนอน,อยากนอนต่อ,ไม่ต้องรีบร้อน,Morning
6:30:00 AM,ตื่นนอน,"ลุกไม่ขึ้น,ไม่อยากตื่น",ได้เห็นแสงแดดยามเช้า,Morning
6:30:00 AM,ปั่นจักรยาน,ปวดขา,ได้ออกกำลังกาย มีสุขภาพที่ดี,Morning
6:40:00 AM,ตื่นนอน,ง่วงงัวเงียง้วนง้วน,ได้เริ่มวันใหม่,Morning
6:40:00 AM,ตื่นนอน,ง่วงมากๆ,บังคับตัวเองได้,Morning
6:40:00 AM,ตื่นนอน,ง่วงอยากนอนต่อ,,Morning
6:40:00 AM,อาบน้ำ,หนาว ผิวแห้ง ,สดชื่นและสะอาด,Morning
6:40:00 AM,อาบน้ำ,-,สดชื่น,Morning
6:41:00 AM,เล่นโทรศัพท์ Check E-Mail/Line/Teams,เจอความเครียดจากงานแต่เช้า,มีเวลาเตรียมตัวทำงาน / Organize&Priorities งาน,Morning
6:45:00 AM,แปรงฟัน,ใช้เวลา บางทีรีบแปรงโดนเหงือก,ปากสะอาด สดชื้น,Morning
6:45:00 AM,ตื่นมาเลื่อนนาฬิกาปลุก,ง่วงมาก,ได้พักผ่อนต่อ,Morning
6:45:00 AM,ล้างหน้า,น้ำเย็นมาก,ร่างกายสดชื่น,Morning
6:45:00 AM,อาบน้ำ,ยืนทำใจต่อหน้าฝักบัวอย่างหนาวเหน็บ,ตาสว่าง เนื้อตัวหอมฉุย,Morning
6:45:00 AM,อาบน้ำ,,สดชื่นหายง่วง,Morning
6:45:00 AM,อาบน้ำ แต่งตัว,,"สะอาด,สดชื่น",Morning
6:45:00 AM,อาบน้ำ แต่งตัว,หนาว,"สะอาด,สดชื่น",Morning
6:45:00 AM,Wake up,Still sleeping,Fresh recovery,Morning
6:50:00 AM,อาบน้ำ,สบู่/ยาสระผมหมด แล้วขี้เกียจออกมาเอาใหม่,ร่างกายสะอาด,Morning
6:50:00 AM,ไปออกกำลังกาย + ฟัง Podcast,เหนื่อย,รู้สึกสุขภาพดี + พัฒนาสมอง,Morning
6:50:00 AM,ตื่นนอน เล่นมือถือ,ยังง่วงนอนมากแต่ต้องตื่นเพราะมีเรียน,มีเวลาเตรียมตัวเยอะมากขึ้น,Morning
7:00:00 AM,แต่งตัว/ทาครีมบำรุง,ครีมหลายชั้นใช้เวลา เครื่องแต่งกายใช้เวลา,ผิวดี ปากไม่แห้ง แต่งตัวดูภูมิฐาน,Morning
7:00:00 AM,ตื่นมาเลื่อนนาฬิกาปลุก,ง่วงมาก,ได้พักผ่อนต่อ,Morning
7:00:00 AM,ตื่นมาปิดนาฬิกาปลุก รอบที่ 2,หนวกหู ไม่อยากลุก,ได้นอนต่อ,Morning
7:00:00 AM,Having breakfast nearby Condo,Only a few choices of foods in the morning. Feeling a bit boring.,,Morning
7:00:00 AM,ตื่นนอน ,"ง่วง,หนาว,ที่นอนดูด","ตื่นเช้าได้ดูบรรยากาสยามเช้า,สดชื่น",Morning
7:00:00 AM,Listen to podcast,,update news and situation,Morning
7:00:00 AM,อาบน้ำ แต่งตัว,รู้สึกงัวเงียเมื่อตอนตื่น,สดชื่นพร้อมออกไปทำงาน,Morning
7:00:00 AM,นาฬิกาปลุก,รู้สึกง่วงนอน ไม่อยากลุก,,Morning
7:00:00 AM,ขึ้นรถตู้บริษัท,เดินทางไกลนาน,ได้นอนหลับบนรถ,Morning
7:00:00 AM,ตื่นนอน,ง่วง,,Morning
7:00:00 AM,ตื่นนอน,ง่วง,,Morning
7:00:00 AM,Driving to the office,"- Consume time during fraffic jam and probably get frustated easily if unable to arrive the office in time
- Transportation expenditure including fuel cost and vehivle maintenance cost is much higher than using public transport 
- No mass transit available; so we cannot predict the arrival time precisely","- Able to watch netflix while driving
- Have time to chat with friends",Morning
7:00:00 AM,ให้อาหารแมว,,มีความสุข,Morning
7:00:00 AM,ขับรถไปทำงาน,รถติด อารมณ์ไม่ดี,ฟังเพลงฟังpodcastในรถได้,Morning
7:00:00 AM,ลงไปกินข้าวที่ร้านอาหารโรงแรม,เมนูอาหารที่เลือกมีให้น้อย,,Morning
7:00:00 AM,อาบน้ำ,น้ำเย็น,รู้สึกสดชื่น,Morning
7:00:00 AM,แต่งตัวแต่งหน้า,ต้องรีบ เพื่อไม่ให้ไปสาย,มั่นใจขึ้น,Morning
7:00:00 AM,Arrive at office,"On Monday, the traffic is very jam",,Morning
7:00:00 AM,ปิดนาฬิกาปลุกอีกครั้ง ตื่นจริงๆ,ง่วง,ได้พักผ่อนต่ออีกหน่อย,Morning
7:00:00 AM,Outdoor exercise & shower,High PM2.5 and PM10,,Morning
7:00:00 AM,ตื่นนอน,ง่วงมาก ลืมตาแทบไม่ขึ้น,ตื่นไปทำงานทัน,Morning
7:00:00 AM,นาฬิกาปลุก ครั้งแรก,สลึมสลือ ง่วงนอนอยู่,กด check-in COVID-19 (Health Check ของบริษัท),Morning
7:00:00 AM,อาบน้ำ แต่งตัว,ต้องสระผมเป่าผม แต่งหน้า เลือกชุดใช้เวลานาน,ร่างกายตื่นตัว สะอาด,Morning
7:00:00 AM,ถึงที่ทำงาน,"ขี้เกียทำงาน, เหนื่อย",มาทันเวลาเข้างาน,Morning
7:00:00 AM,ทาครีม,ขี้เกียจทา,บำรุงผิว,Morning
7:00:00 AM,Laundry,Do not want to categorize white and color clothes,Hygenity,Morning
7:00:00 AM,Jogging or execise,Tired,Burn calories,Morning
7:00:00 AM,ทานอาหารเช้า,,อาหารเช้าเป็นสิ่งที่ดีต่อสุขภาพ,Morning
7:01:00 AM,เลื่อนนาฬิกาปลุกไป 8 โมงเช้า,,ได้นอนต่อ,Morning
7:05:00 AM,เล่นมือถือ ดู social อ่านบทความ online,แสงจากจอมือถือเข้าตาแล้วแสบตา,เพลิดเพลิน และ ได้รู้ข่าวสารต่างๆ,Morning
7:05:00 AM,แต่งตัว,ลืมรัดผ้า เสียเวลาหาชุดเพราะไม่ได้เตรียมไว้,แต่งตัวเท่ๆ ไปทำงาน,Morning
7:05:00 AM,ทำอาหารเช้า,ไม่มีอะไรพร้อมกิน,มีอาหารกิน ประหยัดไม่ต้องไปซื้อ,Morning
7:10:00 AM,ขับรถออกจากบ้าน,รถติด,ฟัง Podcast/เพลง + มีเวลาคิดงาน,Morning
7:12:00 AM,นอน,อยากดูซีรีย์ต่อ แต่ต้องนอน,นอนเยอะๆ แก่ช้า ไม่ต้องเสียตังไปฉีดโบ,Morning
7:15:00 AM,ตื่นมาเลื่อนนาฬิกาปลุก,ง่วงมาก,ได้พักผ่อนต่อ,Morning
7:15:00 AM,Take a shower,,clean and fresh up,Morning
7:15:00 AM,Eat breakfast,Feeling bored with the same menu,,Morning
7:15:00 AM,กินนม-ขนมปัง,หิว,อิ่มท้อง,Morning
7:15:00 AM,สวดมนต์,,"สงบ,ได้สมาธิ, อารมณ์เย็น",Morning
7:15:00 AM,ดื่มกาแฟ nespresso,ขี้เกียจล้างแก้ว,อร่อย+สดชื่น,Morning
7:15:00 AM,รดน้ำต้นไม้,,"สงบ,ได้สมาธิ",Morning
7:20:00 AM,ออกเดินทาง(มอเตอร์ไซ),อาจจะเกิดอันตรายได้ ,ควบคุมเวลาได้สะดวก ทำให้สามารถไปทันเวลาได้ง่ายกว่าการเดินทางด้วยวิธีอื่น,Morning
7:20:00 AM,ออกไปทำงาน,เจอรถติด,,Morning
7:20:00 AM,ตื่นนอน,งัวเงีย,สดชื่น/ ได้นอนเต็มที่,Morning
7:20:00 AM,ตื่นนอน,ง่วงไม่อยากตื่น,,Morning
7:20:00 AM,ขับรถไปทำงาน,เบื่อรถติด,ถึงที่ทำงานทันเวลา,Morning
7:20:00 AM,ลดน้ำต้นไม้ ดูแลสวนในบ้าน,ใบไม้ร่วง มีแมลง,ความร่มรื่น ความผ่อนคลาย,Morning
7:25:00 AM,แปรงฟัน/ อาบน้ำ,ไม่สดชื่น ,สะอาด สดชื่น ,Morning
7:25:00 AM,อาบน้ำ,ไม่อยากอาบน้ำ,สดชื่น สะอาด,Morning
7:30:00 AM,ถึงที่ทำงาน เริ่มประชุมตอนเช้า (ด้วย MS Team),บางครั้งมีเสียงไมค์ตีกัน,รู้เรื่องสำคัญ ในวัน ได้ตัดสินใจแนวทางทำงานในวันของทีม,Morning
7:30:00 AM,ตื่นและลุกไปอาบน้ำ แต่งตัว,นอนไม่พอเพราะตื่นมาเลื่อนนาฬิกาปลุกทุก 15 นาที,สดชื่นหายง่วง,Morning
7:30:00 AM,ตื่นนอน,รู้สึกขี้เกียจ ไม่อยากลุก,ได้ไปทำกิจกรรมต่างๆ,Morning
7:30:00 AM,ตื่นนอน,ง่วงนอน,ไดพักผ่อนเต็มที่,Morning
7:30:00 AM,Grab some coffee nearby,Excessive calories,Fulfill the need of coffee. Feeling stimulated,Morning
7:30:00 AM,อาบน้ำ,น้ำเย็น(อีกแล้ว),สดชื่นพร้อมรับวันใหม่,Morning
7:30:00 AM,อาบน้ำ,หนาว,ตาสว่าง,Morning
7:30:00 AM,ตื่นนอน,ง่วง,ยังไม่ตาย,Morning
7:30:00 AM,สั่งอาหารเช้าผ่าน GrabFood,ไม่รู้จะกินอะไร จำเจ,สะดวก ไม่ต้องเดินทางออกจากบ้าน และไม่ต้องทำกินเอง,Morning
7:30:00 AM,ขับรถไปทำงาน,ขับรถเร็วเพราะออกบ้านสาย,แอบดีใจไปทำงานทัน,Morning
7:30:00 AM,ขับรถไปทำงาน,ขับรถเร็วเพราะออกบ้านสาย,แอบดีใจไปทำงานทัน,Morning
7:30:00 AM,นอน,,,Morning
7:30:00 AM,แต่งตัวไปทำงาน,เสื้อยับเล็กน้อย,สุภาพ พร้อมทำงาน,Morning
7:30:00 AM,Morning talk with friend,,Update news,Morning
7:30:00 AM,อาบน้ำ,ไม่สดชื่น,สดชื่น,Morning
7:30:00 AM,อาบน้ำ แต่งตัวไปทำงาน,ไม่อยากอาบน้ำ น้ำเย็นมาก,ตัวสะอาดไปทำงาน,Morning
7:30:00 AM,นาฬิกาปลุก ครั้งที่สอง,รู้สึกขี้เกียจ ไม่อยากลุก,ตื่นเพื่อมีเวลาเตรียมตัวก่อนทำงาน,Morning
7:30:00 AM,เปิด email เตรียมการประชุม,"เบื่อ, ซ้ำซาก",ทราบความคืบหน้าของงาน,Morning
7:30:00 AM,ออกจากบ้าน ขับรถไปที่ทำงาน,ขี้เกียจขับรถ รถติดช่วงเวลาเร่งด่วน,ถึงทีทำงานเร็ว มีเวลากินข้าว ซื้อกาแฟ จิบชา,Morning
7:30:00 AM,ดื่ม Whey Protein + วิตามิน,ขี้เกียจล้างแก้ว + หลายเม็ด,บำรุงร่างกาย,Morning
7:30:00 AM,กินข้าวเช้า,เร่งรีบ,"มีแรง,อร่อย",Morning
7:30:00 AM,ตื่นนอน,ไม่อยากตื่น อยากนอนต่อ,ได้เริ่มต้นวันใหม่,Morning
7:30:00 AM,ตื่นนอน,ไม่อยากลุก,,Morning
7:35:00 AM,เล่มเกมส์,ใช้เวลาในการเล่น เปลืองเวลา ลืมเวลา,คลายความงัวเงีย,Morning
7:35:00 AM,อาบน้ำ,หนาว ไม่อยากอาบ,สดชื่น+สะอาด,Morning
7:40:00 AM,Have breakfast,"usually be cornflakes, really bored",gain energy,Morning
7:40:00 AM,อาบน้ำ,หนาว,ทำความสะอาดร่างกาย,Morning
7:40:00 AM,อาบน้ำ,หนาว,สดชื่น และตื่นเต็มที่,Morning
7:40:00 AM,เดินทางไปทำงาน,รถติด,-,Morning
7:45:00 AM,ขึ้นบีทีเอสเพื่อเดินทางไปทำงาน,ที่ทำงานไกลจากที่พัก และรถติด,ไปทำงานไวขึ้นเพราะไม่ต้องเจอรถติด,Morning
7:45:00 AM,ถึงที่ทำงาน,,,Morning
7:45:00 AM,แต่งหน้าแต่งตัว,ไม่สวย,ดูดีขึ้น เสริมสร้างบุคคลิกที่ดี,Morning
7:45:00 AM,ประชุมกับแผนกซ่อมบำรุง,คุยเรื่องเดิมๆ,ทราบการเสียของเครื่องจักรของเมื่อวาน,Morning
7:45:00 AM,เดินทางไปทำงาน,ขี้เกียจขับรถ,ได้ตั้งสติก่อนสตาร์ท,Morning
7:45:00 AM,อาบน้ำแต่งตัว,,,Morning
7:50:00 AM,อาบน้ำ,หนาว,สดชื่น และตื่นเต็มที่,Morning
7:50:00 AM,กินข้าวเช้า,,อิ่มพร้อมทำงาน,Morning
7:50:00 AM,กินข้าวเช้า,ยังไม่หิวแต่ต้องกิน,มีพลังงานในการเริ่มวันใหม่,Morning
7:55:00 AM,ถึงที่ทำงาน,เห็นตึกก็บั่นทอนหัวใจ,ถ้าถึงที่ทำงานแสดงว่าขับขี่ปลอดภัย รอดไปอีก 1 วัน,Morning
8:00:00 AM,ขับรถไปทำงาน,รถติด,ฟังเพลงเพลินๆ,Morning
8:00:00 AM,"ตื่นนอนจากนาฬิกาปลุก, เช็คโทรศัพท์มีข้อความอะไรบ้าง อัปเดตข่าวสารจาก twitter","รู้สึกไม่อยากลุกจากที่นอน, หมดเวลาไปกับการดูข้อความใน Social","ตื่นทันที, รับรู้ข่าวสารที่เกิดขึ้น ไม่ตกข่าว",Morning
8:00:00 AM,เริ่มทำงาน,เบื่อที่เห็นงานค้าง,ได้จักการงานที่ค้างของเมื่อวานให้เสร็จ,Morning
8:00:00 AM,อาบน้ำ,น้ำเย็น,สดชื่น ตื่นตัว,Morning
8:00:00 AM,Move to Condo's library to work there (WFH),Need to carry around laptops and devices and setup everyday,Not working in my room gives more productivity,Morning
8:00:00 AM,ทานอาหารเช้า,ไม่รู้จะกินอะไรดี,อิ่มท้อง พร้อมทำงาน,Morning
8:00:00 AM,พาแม่ไปทำบุญที่วัด,"ง่วง,หนาว,แอบขี้เกี้ยจ",ได้บุญ สบายใจ,Morning
8:00:00 AM,Brew coffee,,make fresh and awake,Morning
8:00:00 AM,ขับรถไปทำงาน,เสียเวลาขับรถ,ได้ไปทำงาน,Morning
8:00:00 AM,อาบน้ำ,หนาว น้ำไม่ค่อยอุ่น,สดชื่น,Morning
8:00:00 AM,ตื่นรอบที่ 1,ง่วงนอน,ไม่ได้อะไร,Morning
8:00:00 AM,Wake up,Feeling lazy to go to work,,Morning
8:00:00 AM,นาฬิกาปลุก,รู้สึกง่วงนอน ไม่อยากลุก,,Morning
8:00:00 AM,ถึงโต๊ะทำงาน,พบเจอหัวหน้า,พบเจอพี่ๆที่น่ารักในทีมและแผนก,Morning
8:00:00 AM,ถึงบริษัท,,,Morning
8:00:00 AM,เริ่มทำงาน เช็คอีเมลล์,คอมพิวเตอร์ช้า,,Morning
8:00:00 AM,เริ่มทำงาน เช็คอีเมลล์,คอมพิวเตอร์ช้า,,Morning
8:00:00 AM,เริ่มทำงาน,บางอย่างก็ไม่ได้ดั่งใจ,ได้ทำสิ่งใหม่ๆ,Morning
8:00:00 AM,"จัดของเตรียมไปเล่น sup board, พักผ่อน ","ไม่สามารถพกอะไรติดตัวไปเล่น sub board ได้,
ไม่สามารถถ่ายรูปเองได้",ไม่ต้องกังวลเรื่องสัมภาระ,Morning
8:00:00 AM,ขึ้น BTS ไปทำงาน,คนแน่น,กะเวลาได้,Morning
8:00:00 AM,กินข้าวเช้า,กินแต่อาหารเดิมๆเพราะไม่มีเวลาเตรียม,อิ่ม,Morning
8:00:00 AM,Start Working,Have some report urgently to finish by today,,Morning
8:00:00 AM,Breakfast,Same as yesterday,,Morning
8:00:00 AM,Wake up,I don't want to get up,,Morning
8:00:00 AM,ทำงาน แบบ Work from home,การไม่ได้แต่งตัวออกจากบ้าน  ทำให้ไม่ได้ใส่ชุดทำงานใหม่ๆ,ไม่ต้องเสียเวลาเลือกเสื้อผ้า แต่งตัว ทำงานได้เลย พร้อมกับจิบกาแฟและอาหารเช้าเบาๆไปพร้อมกัน,Morning
8:00:00 AM,เดินทางไป 101 Digital True Park (BTS),ไกล ใช้เวลา,ได้เล่นมือถือขณะเดินทาง,Morning
8:00:00 AM,wake up,"Don't want to wake up, feeling drowsy, not enough sleep",,Morning
8:00:00 AM,เตรียมเรื่องประชุมกับแผนก maintenance support,เตรียมข้อมูลรูปแบบเดิมๆ,มีข้อมูลไว้ประชุม,Morning
8:00:00 AM,ตื่นนอน,ง่วงนอนยังไม่อยากตื่น,,Morning
8:00:00 AM,กินข้าวเช้า,,"อิ่ม,อร่อย,อารมณ์ดี",Morning
8:00:00 AM,Morning talk online with team,น่าเบื่อ,,Morning
8:00:00 AM,Take a shower,Do it quick,Get clean,Morning
8:00:00 AM,สแกนนิ้ว,นิ้วเปื้อน,เข้างานทัน,Morning
8:00:00 AM,ออกไปทำงาน,,ใช้รถยนต์ส่วนตัว ไม่ต้องไปเบียดแย่งใช้รถไฟฟ้า,Morning
8:02:00 AM,เลื่อนนาฬิกาปลุกไป 8 โมงครึ่ง,,ได้นอนต่อ,Morning
8:05:00 AM,"Checking on social network apps(FB, IG) in bathroom",Feeling guilty for spending too much time on social media content,Get to know news and friends activities,Morning
8:05:00 AM,เข้าห้องน้ำแต่งหน้า,ไม่อยากแต่งหน้า เพราะหลายขั้นตอน,หน้าตาสดใส บุคลิกดี,Morning
8:05:00 AM,Play smart phone,,I see other people post and their happiness,Morning
8:05:00 AM,นอนเล่นมือถือ,เสียเวลา จะสายแล้ว,เช็คงานเช็คไลน์,Morning
8:10:00 AM,แต่งตัว,ใช้เวลาในการเลือกเสื้อผ้า แต่งหน้า แต่งตัว ไม่รู้จะใส่อะไร,สวย เข้ากล้องแล้วหน้าไม่ซีด,Morning
8:10:00 AM,สแกนนิ้วเข้าทำงาน,อาจมาสายได้,ได้ลงเวลาทำงาน,Morning
8:10:00 AM,กินข้าวเช้า,ไม่อยากกินเพราะเมนูน่าเบื่อ, ใช้สมองทำงานได้เต็มที่ไม่หิวระหว่างวัน,Morning
8:10:00 AM,เดินทางไปทำงาน,,ถึงที่ทำงาน ,Morning
8:10:00 AM,จิบกาแฟและอาหารเช้าเบาๆไปพร้อมกัน,กินไปพร้อมกับทำงานไปด้วย  ไม่ค่อยสะดวกนัก,ประหยัดเวลา  ทำให้ไม่ต้องตื่นเช้าเผื่อเวลากินก่อนเข้างาน,Morning
8:10:00 AM,เข้าออฟฟิต,-,-,Morning
8:10:00 AM,เดินรอบคลัง,เมื่อยขา ง่วงนอน เบลอ ๆ ,เดินรู้ความเคลื่อนไหวในคลัง,Morning
8:15:00 AM,Prepare working,,Review tasks before meeting session,Morning
8:15:00 AM,กินข้าวเช้า,คิดไม่ออกกินไรดี ของก็แพง แถมไม่อร่อย ที่สำคัญไม่อิ่ม,เติมพลังงานที่ต้องใช้ในชีวิตประจำวัน,Morning
8:15:00 AM,กินกาแฟ,ยังไม่มีสติครบถ้วน,กระปรี้กระเปร่า,Morning
8:15:00 AM,กินอาหารเช้า,หิว,เพิ่มพลังงานในการออกไปใช้ชีวิต,Morning
8:15:00 AM,เดินไปทำงาน,ไม่อยากเดินตอนเช้าๆ เร่งรีบ,ไม่เสียเงินค่าเดินทาง เพราะที่พักอยู่ใกล้ที่ทำงาน,Morning
8:20:00 AM,ขับรถไปทำงาน,"รถติด, กังวลเรื่องงาน",,Morning
8:20:00 AM,Play ROV,,I gain my happiness to play game,Morning
8:20:00 AM,ตรวจสอบ email,เมล์ไม่สำคัญเยอะ,รู้ว่ามีงานอะไรสำคัญ,Morning
8:25:00 AM,เข้าออฟฟิต,,,Morning
8:25:00 AM,เข้าออฟฟิต,,ถึงที่ทำงานทันเวลา,Morning
8:30:00 AM,ถึงที่ทำงาน เริ่มประชุมตอนเช้า (ด้วย MS Team),Session ที่ไม่ใช่ของตัวเองมีเยอะ,รู้เรื่องสำคัญ ในวัน ได้ประสานงานแนวทางทำงานในวันของทีม ระหว่างหน่วยงาน,Morning
8:30:00 AM,อาบน้ำ แต่งตัว เตรียมตัวทำงาน,ไม่สดชื่น ไม่พร้อมเริ่มวันใหม่,กระปี้กระเปร่า ตาสว่าง,Morning
8:30:00 AM,กินอกไก่ไข่ต้ม คลีน (พ่อทำไว้ให้),จืด ไม่อร่อย เบื่อ,ได้สุขภาพ น้ำหนักไม่ขึ้น,Morning
8:30:00 AM,ตื่นนอน,ไม่อยากตื่น อยากนอนต่อ,ได้เริ่มต้นวันใหม่,Morning
8:30:00 AM,แต่งตัว,เสื้อยับ,ภาพลักษณ์ดี,Morning
8:30:00 AM,Doing BADS homework/project,,"Gaining knowledge, practicing",Morning
